"Question Body Mismatch","The purpose of this checklist is to assist experienced accountants in determining whether financial statements comply with the disclosure requirements of FRS 102 The Financial Reporting Standard applicable in the UK and Republic of Ireland.

The checklist also includes relevant disclosures derived from: 

- IFRSs referenced from FRS 102;

- The Companies Acts (2006) & supporting legislation affecting accounts, directors' remuneration reports, & directors' reports; 

- The LLP SORP (2015 and 2017) and LLP legislation; 

- The charity SORP (2015 and 2019) including Scottish charity legislation; 

- The AIC SORP (2014 and 2018); 

- The IMA SORP (2014 and 2017); 

- The academies accounts direction 2014 to 2015, 2015 to 2016, 2016 to 2017, 2017 to 2018 and 2018 to 2019 for those applying the charity SORP 2015 or 2018; 

- Registered housing provider SORP 2014 and 2018 including accounts directions and determinations for England, Scotland and Wales;

- Accounting for further and higher education SORP 2014 and 2019 including accounts directions and determinations for England, Scotland and Wales;

-- The UK Corporate Governance Code; 

- Operating and Financial Reviews; and 

- Preliminary announcements.
","The purpose of this checklist is to assist experienced accountants in determining whether financial statements comply with the disclosure requirements of FRS 102 The Financial Reporting Standard applicable in the UK and Republic of Ireland.

The checklist also includes relevant disclosures derived from: 

- IFRSs referenced from FRS 102;

- The Companies Acts (2006) & supporting legislation affecting accounts, directors' remuneration reports, & directors' reports; 

- The LLP SORP (2015 and 2017) and LLP legislation; 

- The charity SORP (2015 and 2019) including Scottish charity legislation; 

- The AIC SORP (2014 and 2018); 

 - The IMA SORP (2014 and 2017); 

 - The academies accounts direction 2014 to 2015, 2015 to 2016, 2016 to 2017, 2017 to 2018, 2018 to 2019 and 2019 to 2020 for those applying the charity SORP 2015 or 2018; 

- Registered housing provider SORP 2014 and 2018 including accounts directions and determinations for England, Scotland and Wales;

- Accounting for further and higher education SORP 2014 and 2019 including accounts directions and determinations for England, Scotland and Wales;

-- The UK Corporate Governance Code; 

- Operating and Financial Reviews; and 

- Preliminary announcements."
"Question Body Mismatch","This checklist should only be used for accounting periods ending on or after 31 December 2012 where FRS 102 is being adopted.

Where the financial statements are for a periods ending before this date, please contact Ideagen in order to ascertain the
most suitable checklist to apply in your scenario.","This checklist should  only be used for accounting periods  ending on or after 31 December 2012 where FRS 102 is being adopted.

Where the financial statements are for a periods ending before this date, please contact Ideagen in order to ascertain the
 most suitable checklist to apply in your scenario."
"Question Body Mismatch","Is the entity within the scope of a SORP or Accounts Direction (or volunteering to comply with one where it does not conflict with the framework adopted)?


Note. Where the entity is a charity but a separate SORP exists for a particular class of charity, eg SORP applicable for Registered Social Housing Providers or further and higher education, those SORPs should be used and not the charity SORP.","Is the entity within the scope of a SORP or Accounts Direction (or volunteering to comply with one where it does not conflict with the framework adopted)?


Note.  Where the entity is a charity but a separate SORP exists for a particular class of charity, eg SORP applicable for Registered Social Housing Providers or further and higher education, those SORPs should be used and not the charity SORP."
"Question Body Mismatch","Is the entity a UK authorised fund? Note. If the answer is 'Yes', the checklist will include the requirements from the IMA SORP for financial statements of Uk Authorised Funds (issued May 2014 and June 2017).","Is the entity a UK authorised fund? Note.  If the answer is 'Yes', the checklist will include the requirements from the IMA SORP for financial statements of Uk Authorised Funds (issued May 2014 and June 2017)."
"Question Body Mismatch","What is the first day of the entity�s accounting period?","What is the first day of the entity’s accounting period?"
"Question Body Mismatch"," Does the entity wish to early adopt the amendments to FRS 102 - UK exit from the EU?","Does the entity wish to early adopt the amendments to FRS 102 - UK exit from the EU?"
"Question Body Mismatch","Do you want the checklist to assist in determining whether the company or LLP is small, medium or large? Note. This will not determine if the entity can adopt the micro-entity provisions.","Do you want the checklist to assist in determining whether the company or LLP is small, medium or large?  Note. This will not determine if the entity can adopt the micro-entity provisions."
"Question Body Mismatch","Does the entity qualify for: -Small exemptions; - Medium-sized exemptions, or - None of the above?","Does the entity qualify for:

-Small exemptions;

- Medium-sized exemptions, or

- None of the above?"
"Question Body Mismatch","Is the entity an overseas company as defined in the Companies Act 2006? See Help for guidance.","Is the entity an overseas company as defined in the Companies Act 2006?  See Help for guidance."
"Question Body Mismatch","Please select the type of entity that this checklist is being answered for: 
Private Company - a UK private company that is limited by shares (Ltd or c.i.c); 
Public Company - a UK public limited company (Plc) or c.i.c.; 
Unlimited Company - a UK unlimited company (or c.i.c.) or a company limited by [membership] guarantee; 
LLP - a limited liability partnership (LLP) incorporated in Great Britain under the 2000 Act, or 
None of the above? 
If the entity is a Qualifying Partnerships, please tick private company. If the entity is a Co-operative and Community Benefit Societies select none of the above.","Please select the type of entity that this checklist is being answered for: 
Private Company - a UK private company that is limited by shares (Ltd or c.i.c); 
Public Company - a UK public limited company (Plc) or c.i.c.; 
Unlimited Company - a UK unlimited company (or c.i.c.) or a company limited by [membership] guarantee; 
LLP - a limited liability partnership (LLP) incorporated in Great Britain under the 2000 Act, or 
None of the above? 
If the entity is a Qualifying Partnerships, please tick private company.  If the entity is a Co-operative and Community Benefit Societies select none of the above."
